major,Semester,Year,degree,university,top,G-V,G-Q,G-A,gpa-norm,toefl,acceptance
EE,Fall,2012,,Arizona State University,15/211,0.85,0.55,0,,109,
EE,Fall,2012,MS,Arizona State University,,0.85,0.55,4,0.925,100,AD
CS,Fall,2015,MS,Arizona State University,,,,,,,AD
CS,Fall,2015,MS,Arizona State University,,0.6,1,3,0.725,100,AD
CS,Fall,2015,MS,Arizona State University,,,,,0.7,,AD
CS,Fall,2015,MS,Arizona State University,,0.75,0.75,2,0.85,105,AD
CS,Fall,2015,MS,Arizona State University,15/211,,,,,,AD
Material,Fall,2015,PhD,Arizona State University,,,,,0.825,,Rej
CS,Fall,2015,PhD,Arizona State University,,0.625,0.625,4,,107,AD
EE,Fall,2015,MS,Arizona State University,15/211,0.5,0.925,3.5,0.175,103,Rej
EE,Fall,2015,MS,Arizona State University,,0.4,0.975,3,0.825,102,Rej
EE,Fall,2015,PhD,Arizona State University,15/211,,,,0.925,,AD
CS,Fall,2015,PhD,Arizona State University,30/211,0.6375,0.6375,3,0.9,108,AD
EE,Fall,2015,MS,Arizona State University,,,,,,,AD
CS,Fall,2015,PhD,Arizona State University,30/211,0.6375,0.6375,3,0.9,108,AD
CS,Fall,2015,PhD,Arizona State University,,,,,0.9,,AD
EE,Fall,2015,MS,Arizona State University,15/211,,,,,,AD
EE,Fall,2015,MS,Arizona State University,,0.725,1,3,0.8,105,AD
EE,Fall,2015,MS,Arizona State University,,,,,0.85,,AD
EE,Fall,2015,PhD,Arizona State University,,,,,,,Rej
Mech,Fall,2014,MS,Arizona State University,,,,,0.875,,AD
EE,Fall,2014,MS,Arizona State University,,,,,,,AD
EE,Fall,2014,MS,Arizona State University,,,,,0.75,,Rej
Mech,Fall,2014,PhD,Arizona State University,,0.5,1,3.5,0.8375,101,AD
Mech,Fall,2014,MS,Arizona State University,,,,,,,AD
EE,Fall,2014,PhD,Arizona State University,15/211,0.4,0.95,4.5,,,AD
CS,Fall,2014,PhD,Arizona State University,15/211,,,,0.716666667,,AD
ECE,Fall,2014,MS,Arizona State University,30/211,,,,,108,AD
CS,Fall,2014,MS,Arizona State University,,,,,0.98,,AD
Mech,Fall,2014,PhD,Arizona State University,,0.675,1,3,0.875,102,AD
EE,Fall,2014,MS,Arizona State University,15/211,0.7,0.7,3,,108,AD
EE,Fall,2014,MS,Arizona State University,,0.5,0.95,3,,93,Rej
Mech,Fall,2014,PhD,Arizona State University,,,,,0.7875,,AD
EE,Fall,2014,MS,Arizona State University,,,,,,,AD
EE,Fall,2014,MS,Arizona State University,,,,,0.875,,AD
EE,Fall,2014,MS,Arizona State University,15/211,0.45,0.95,3,0.875,100,AD
EE,Fall,2014,MS,Arizona State University,,,,,,,AD
EE,Fall,2014,PhD,Arizona State University,,,,,,,Rej
EE,Fall,2014,MS,Arizona State University,,0.575,0.975,3.5,0.825,106,AD
EE,Fall,2014,MS,Arizona State University,,,,,,,AD
CS,Fall,2014,PhD,Arizona State University,,,,,,,AD
EE,Fall,2014,PhD,Arizona State University,15/211,0.9,0.625,0,,112,Rej
CS,Fall,2014,PhD,Arizona State University,30/211,0.6625,0.6625,3.5,0.975,98,AD
EE,Fall,2014,MS,Arizona State University,,,,,,,AD
EE,Fall,2014,MS,Arizona State University,30/211,0.625,0.625,5,0.9,91,AD
EE,Fall,2014,MS,Arizona State University,30/211,0.475,0.875,3,,99,AD
CS,Fall,2014,MS,Arizona State University,,,,,,,AD
CS,Fall,2014,MS,Arizona State University,,,,,,,AD
Envir,Fall,2014,MS,Arizona State University,,,,,0.825,,AD
CS,Fall,2013,MS,Arizona State University,30/211,0.625,0.875,3,,107,AD
CS,Fall,2013,MS,Arizona State University,,,,,,,AD
CS,Fall,2013,MS,Arizona State University,,0.525,0.85,3,0.875,87,AD
CS,Fall,2013,MS,Arizona State University,30/211,0.5,1,3,,94,AD
EE,Fall,2013,MS,Arizona State University,,,,,,,AD
Envir,Fall,2013,MS,Arizona State University,,,,,,,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.7,,AD
Envir,Fall,2013,MS,Arizona State University,,,,,,,AD
CS,Fall,2013,MS,Arizona State University,,,,,,,AD
Mech,Fall,2013,PhD,Arizona State University,15/211,0.55,1,3,0.95,97,AD
Chem,Fall,2013,,Arizona State University,,,,,0.875,,
CS,Fall,2013,PhD,Arizona State University,,,,,,,Rej
CS,Fall,2013,PhD,Arizona State University,,,,,0.775,,AD
EE,Fall,2013,MS,Arizona State University,15/211,,,,0.733333333,,AD
CS,Fall,2013,PhD,Arizona State University,30/211,0.55,0.9,3.5,,94,AD
CS,Fall,2013,PhD,Arizona State University,,,,,,,AD
CS,Fall,2013,MS,Arizona State University,30/211,0.75,0.9,3,0.85,107,AD
